Token,Symbol,Contract,PairId,Price,MarketCap_raw,Liquidity_raw,FDV_raw,MarketCap,Liquidity,FDV
Just a chill guy,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,93tjgwff5Ac5ThyMi8C4WejVVQq4tuMeMuYW1LEYZ7bu,$0.023670,23676985.0,1959106.38,23676985.0,$23.7M,$2.0M,$23.7M
Huma Finance,HUMA,HUMA1821qVDKta3u2ovmfDQeW2fSQouSKE8fkF44wvGw,3fx6tcZy9t11i6fRVr3DwJY3H7Wi9YAso8os8UtQShDX,$0.029930,51894302.0,703524.33,299390093.0,$51.9M,$704K,$299.4M
You’ll own nothing & be happy,TheToken,73MGboY641m1J8bFaSoLG35RoSSh4ZgdPVwvARNzmXPq,8HJZrFiHdFzcVYxBc6TvjT9r6cRX54Nc3EyUe1EEx7kE,$0.003852,3852543.0,3757639.51,3852543.0,$3.9M,$3.8M,$3.9M
Peanut the Squirrel ,Pnut ,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,4AZRPNEfCJ7iw28rJu5aUyeQhYcvdcNm8cswyL51AY9i,$0.090710,90701823.0,4848878.06,90701823.0,$90.7M,$4.8M,$90.7M
1 coin can change your life,1,GMvCfcZg8YvkkQmwDaAzCtHDrrEtgE74nQpQ7xNabonk,Gi3959wDyHbQfs612ztsh3GWw8LYHhW4fx5YSJzbihy6,$0.021030,21032774.0,473888.17,21032774.0,$21.0M,$474K,$21.0M
jelly-my-jelly,jellyjelly,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,HrNE8CpBBPyawPR8PvMDz7XWrbAsiDGSGA23iKAeFqg,$0.062330,62334525.0,106317.01,62334525.0,$62.3M,$106K,$62.3M
ORE,ORE,oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp,7XNR3Ysqg2MbfQX8iMWD4iEF96h2GMsWNT8eZYsLTmua,$163.730000,68557449.0,125334.81,68586048.0,$68.6M,$125K,$68.6M
Moo Deng,MOODENG,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,22WrmyTj8x2TRVQen3fxxi2r4Rn6JDHWoMTpsSmn8RUd,$0.085030,84175725.0,4127961.49,84175725.0,$84.2M,$4.1M,$84.2M
Popcat,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,FRhB8L7Y9Qq41qZXYLtC2nw8An1RJfLLxRF2x9RwLLMo,$0.105800,103703797.0,5823898.03,103703797.0,$103.7M,$5.8M,$103.7M
TROLL,TROLL,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,Cgnuirsk5dQ9Ka1Grnru7J8YW1sYncYUjiXvYxT7G4iZ,$0.036720,36692479.0,309136.15,36692479.0,$36.7M,$309K,$36.7M
aura,AI,ZFNHgsEoCy7m245cw7sQKic1NcurEoGHG3TGU1Vsz3b,BM7Y48Gfc1Q2hd1S3bAna3VMBULikiQdYbty12La9wAP,$0.033100,33084275652.0,132412235.86,33084275652.0,$33.1B,$132.4M,$33.1B
World Liberty Financial USD   ,USD1,CiTnscSK27VUinyFngoX57YdeZTjNorGtCReC9nH2Do6,Sz9YJYis8wqKnmF2Vii4GFQfyELELFB4jmJQs66MNGr,$1.000000,2887000000.0,2857746348.96,2887000000.0,$2.9B,$2.9B,$2.9B
Never Give Up,MINER,Gka1TQEevBbVw4W9K15ER96ZzKByMTb6TBMQzWFEpump,7RewgB9eXiLbaFdLU14cQLY46wH4Ccn46DxsMh51iGay,$0.001253,1253850.0,161204.89,1253850.0,$1.3M,$161K,$1.3M
dogwifhat,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,$0.393600,393239933.0,8682661.12,393239933.0,$393.2M,$8.7M,$393.2M
KERMIT THE FROG,KERMIT,CkTFDNGUtw58dBDEnMD9RW3tjTVKaoVXctcXdq8Gpump,3cWtUtmhYhLdWrHXUnNgXoyYVvFC3dEUkM5HCA3YPqv4,$0.004716,4716788.0,308202.63,4716788.0,$4.7M,$308K,$4.7M
Jerry The Turtle By Matt Furie,JYAI,0x4E9623B7e5b6438542458f5EE828d65c24d3AF8c,0x2623EDC6008D057786a6Bf9dD34185DCDDebbf2F,$0.000025,1703516.0,199450.22,1703516.0,$1.7M,$199K,$1.7M
MOTHER IGGY,MOTHER,3S8qX1MsMqRbiwKg2cQyx7nis1oHMgaCuc9c4VfvVdPN,HcPgh6B2yHNvT6JsEmkrHYT8pVHu9Xiaoxm4Mmn2ibWw,$0.003316,3270919.0,851413.05,3270919.0,$3.3M,$851K,$3.3M
test griffain.com,GRIFFAIN,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,CpsMssqi3P9VMvNqxrdWVbSBCwyUHbGgNcrw7MorBq3g,$0.021650,21649233.0,2292408.73,21649233.0,$21.6M,$2.3M,$21.6M
Pandu Pandas,00,CUZGoJsgwNcZtTe9nJy27BHYmY2g2XmW9udfNeEXDBc9,7sna7sAvuytX2nnqVT7n518zz3dcrL7L8wSbvbQEBcVr,$0.000026,2587225.0,103495.7,2587225.0,$2.6M,$103K,$2.6M
Daydreams,dreams,0x176383016BB310C9f1C180DC6729d5E28104e602,0x2Ad6252a9B295733fd90d9a233e768985EE4b98E,$0.014790,12571318.0,111536.67,405117.0,$12.6M,$112K,$405K
MACARON,MACARON,8UiPofjkbjqTqrymz4VY3wXxMcPjFuyq3Psofekymaca,F7XDzSmDLQLF1htUGZ4nb8B3UfCmWDZWnJVZV32yLr7b,$0.200800,1216882.0,218956.97,210864.0,$1.2M,$219K,$211K
Pippin,pippin,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,8WwcNqdZjCY5Pt7AkhupAFknV2txca9sq6YBkGzLbvdt,$0.435500,435495271.0,14714790.33,435495271.0,$435.5M,$14.7M,$435.5M
Longinus,LGNS,0xeB51D9A39AD5EEF215dC0Bf39a8821ff804A0F01,0x882df4B0fB50a229C3B4124EB18c759911485bFb,$5.900000,981464639.0,377409889.01,4877499156.0,$981.5M,$377.4M,$4.9B
XerisCoin,XERIS,9ezFthWrDUpSSeMdpLW6SDD9TJigHdc4AuQ5QN5bpump,2Ff7ABu3yFcJBRZcoBMydyKnEDGmqEz76CmkWq2BdTFq,$0.000883,883392.0,112050.47,883392.0,$883K,$112K,$883K
Chill House,CHILLHOUSE,GkyPYa7NnCFbduLknCfBfP7p8564X1VZhwZYJ6CZpump,35TqQMeiRwEbK6FR5qiPwastuAAvo32VjnULJpxVSxUK,$0.007564,7554077.0,959426.91,7554077.0,$7.6M,$959K,$7.6M
USD Coin,USDC,8xxnM95N7HcFQvpDVAUaEoPHrsg4hg9TuHbANvnnsdky,5cmLBL2NjhzhrkdB4TRgvGEEuUvMeec2ZX9tTrQM67Wf,$1.000700,151091107466.0,213278.23,151091107466.0,$151.1B,$213K,$151.1B
Horse Fart Dust,THE˙,D2jcD9fFf7msttebx5XQErPBaPDXZBW1yQwaWH5Z62AM,GmP1CE3kJwsiLVLg1qtnFALHs1b3VEimhPWzt11qJZPn,$0.000140,139743070.0,558972.49,139743070.0,$139.7M,$559K,$139.7M
catwifmask,MASK,6MQpbiTC2YcogidTmKqMLK82qvE9z5QEm7EP3AEDpump,GWPLjamb5ZxrGbTsYNWW7V3p1pAMryZSfaPFTdaEsWgC,$0.002938,2937497.0,411465.8,2937497.0,$2.9M,$411K,$2.9M
