contract,price_usd,usd_allocated,tokens_expected
B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.001986,50.769285714285715,25563.587972953534
5u9JUgkwAJisNQ22y5sEmaEvcyYtFvPWF73Nvk2kpump,4.818e-06,50.769285714285715,10537419.201802762
CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,0.06331,50.769285714285715,801.9157433941828
31k88G5Mq7ptbRDf3AM13HAq6wRQHXHikR8hik7wPygk,1.33,50.769285714285715,38.172395273899035
HgBRWfYxEfvPhtqkaeymCQtHCrKE46qQ43pKe8HCpump,0.06381,50.769285714285715,795.6321221483421
83iBDw3ZpxqJ3pEzrbttr9fGA57tttehDAxoFyR1moon,0.002181,50.769285714285715,23277.985196829763
FNj16zAMFERd4w2nKfjfVn51aW38m56jcfNHzpVQmoon,0.001114,50.769285714285715,45573.86509361375
DMwbVy48dWVKGe9z1pcVnwF3HLMLrqWdDLfbvx8RchhK,0.007003,50.769285714285715,7249.648109993676
5nnwSTqg5gVwLoUQRNHw1zv58EKCjenASv8eKFJugYxq,0.001988,50.769285714285715,25537.870077608506
2HzCwxPfUCaBJ9HGNKCc3qqkeqrp3Xrk9o7VsHbeBAGS,6.768e-05,50.769285714285715,750137.200270179
CniPCE4b3s8gSUPhUiyMjXnytrEqUrMfSsnbBjLCpump,0.005411,50.769285714285715,9382.606859043746
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,239.32,50.769285714285715,0.21213975311000216
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0.8012,50.769285714285715,63.366557306896794
FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,0.03249,50.769285714285715,1562.6126720309546
pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,0.00384,50.769285714285715,13221.168154761905
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,0.02195,50.769285714285715,2312.9515131793037
EdN7mEndu6esJox7WxDdPhGZhmhYkFN9bTgsAxnNpump,0.009689,50.769285714285715,5239.88912315881
FJjKH9Xp2SvNDNUSN7X9T4uMNafFEYzbZpnwEZXKpump,0.001032,50.769285714285715,49195.04429678849
7rCrPCf5qTcEAvDC3mH89rjZMetpRDLXZBvqLoPPpump,0.001297,50.769285714285715,39143.62815288027
s6nhgeppKdbfockwnrUAA5art6ca4Sa4enN5fNApump,0.001653,50.769285714285715,30713.421484746348
2Tf88jjxFugWWApDCLHLGBPxc68t6nHZAPBszKASnStx,0.03176,50.769285714285715,1598.529147175243
AT13ipG8K4HDyEJm3H1ZVQV2Bw8sihewoLQReSMsYo3o,0.02446,50.769285714285715,2075.6044854573065
LiGHtkg3uTa9836RaNkKLLriqTNRcMdRAhqjGWNv777,0.03465,50.769285714285715,1465.2030509173367
AUuCEHQ7sm2i5GmaHrpE961voWcTY8U6mgrkhcV7pump,0.02209,50.769285714285715,2298.292698700123
76rTxzztXjJe7AUaBi7jQ5J61MFgpQgB4Cc934sWbonk,0.003889,50.769285714285715,13054.586195496455
5PsnNwPmMtsGZgG6ZqMoDJJi28BR5xpAotXHHiQhpump,0.003928,50.769285714285715,12924.970904858888
BFgdzMkTPdKKJeTipv2njtDEwhKxkgFueJQfJGt1jups,0.3915,50.769285714285715,129.67889071337348
H8xQ6poBjB9DTPMDTKWzWPrnxu4bDEhybxiouF8Ppump,0.04049,50.769285714285715,1253.8722083054017
